"","Estimate (SE)","T","p-value","Estimate (SE)","T","p-value","Estimate (SE)","T","p-value"
"(Intercept)","-14.5197 (2.1276)",-6.8243,"<0.0001","-1.8406 (3.3148)",-0.5553,"0.5791","-22.7403 (2.3583)",-9.6426,"<0.0001"
"Diversity","0.0043 (0.004)",1.0905,"0.276","-0.1171 (0.0153)",-7.6292,"<0.0001","0.0016 (0.0026)",0.6171,"0.5372"
"sqrt(Fertilizer)","-4.3892 (0.1685)",-26.0419,"<0.0001","-3.9263 (0.282)",-13.921,"<0.0001","-0.039 (9e-04)",-41.3099,"<0.0001"
"sqrt(Irigation)","0.0051 (0.0103)",0.501,"0.6166","-0.012 (0.0162)",-0.7417,"0.4588","-0.0348 (0.0038)",-9.0329,"<0.0001"
"Temperature instability","-8e-04 (4e-04)",-1.8069,"0.0713","-0.0056 (0.0017)",-3.4088,"7e-04","0.0035 (9e-04)",3.743,"2e-04"
"Precipitation instability","0.0241 (0.0039)",6.2396,"<0.0001","0.019 (0.0073)",2.6172,"0.0093","0.018 (0.0013)",13.5125,"<0.0001"
"Time","0.0079 (0.0011)",7.3603,"<0.0001","0.0018 (0.0017)",1.0714,"0.2847","0.0117 (0.0012)",9.9991,"<0.0001"
"R2","0.6632",NA,NA,"0.5678",NA,NA,"0.2769",NA,NA
"AIC","420.9023",NA,NA,"117.6381",NA,NA,"-2041.2714",NA,NA
