"Area","timePeriod","cluster","cv0","yield0","cv1","yield1","cv2","yield2","cv3","yield3","cv4","yield4","cv5","yield5","cv6","yield6","cv7","yield7","cv8","yield8","cv9","yield9"
"Guyana",1993,1,0.0418861098169096,11806054.8758614,0.0373962066481575,7437499.10809944,0.0101839114073178,7091218.66443566,0.0790398797580815,19992751.4410436,0.101824543920618,7528854.08823135,0.0156554299783951,7216433.29560039,0.0167631156704171,9127647.21346168,0.0278452965425578,13909036.1200923,0.0310922034095606,11800980.9695882,0.0418861098169096,11806054.8758614
"Malaysia",1961,1,0.103532950085756,7229081.44563221,0.0252897310779109,4834465.44739323,0.115947549672235,4576600.41291704,0.0256828848121795,5824780.69414249,0.0473876785436391,5294446.28267178,0.0296264012226122,4387822.39179499,0.023080813342041,4429529.6940809,0.0339701686918081,8393058.68775572,0.0370312821288755,8606565.73772277,0.103532950085756,7229081.44563221
"Belize",1961,1,0.0475902884175685,7700615.60193151,0.0237204897554623,4714272.33466983,0.135646213392229,4660101.65724688,0.0299304720858594,6559927.349538,0.0572639492851743,6310205.5868603,0.0335459222638534,4610668.48378315,0.0252577017965098,5088375.50408798,0.031200101776775,9913718.26391755,0.0388943320852888,9385681.45674698,0.0475902884175685,7700615.60193151
"Suriname",1969,1,0.0455324965626213,9879099.28044445,0.018065832097218,5619148.09631507,0.0438894733246039,5180251.29208808,0.0932059929223226,6703512.87056045,0.063329602514259,7670564.8277136,0.018199715370539,4921359.33134637,0.0488993562181729,5160349.49629884,0.0391662729342309,10179625.4398378,0.0247816969153107,8002774.46480377,0.0455324965626213,9879099.28044445
"Guyana",1985,1,0.035842859486181,11802802.8976757,0.0233181499115661,6969545.19044842,0.0192398536605478,6804803.23880026,0.109422002032733,23976849.3821116,0.187248024678714,6024689.49078363,0.0172000492024962,6961080.21860964,0.0301652423867626,7091052.16367619,0.0187426770151762,13438992.7252593,0.0562993470843315,10583865.1751004,0.035842859486181,11802802.8976757
"Malawi",2001,1,0.211549403345569,5314938.86343481,0.0137604250607115,7281872.69922026,0.0200531838518809,7737839.44196006,0.0446868242286328,13894550.0064218,0.0428026500181954,7640798.96960736,0.0202794934505814,9066567.97596051,0.0193771935352041,7915307.82294307,0.0494082065198957,11981411.0605982,0.0529161388281392,11857562.0027155,0.211549403345569,5314938.86343481
"Mali",1985,1,0.137324757164856,3181722.26649219,0.0259028206835577,6083372.3731905,0.0296201188582934,5577154.69363149,0.0890854051160519,11858718.4318133,0.0827373486763023,5463741.29478986,0.0214501766337528,6030614.35343715,0.0326106538027346,6814007.75663094,0.0279262305733961,11269032.3057894,0.0359442129349323,8267904.74619575,0.137324757164856,3181722.26649219
"Mexico",1969,1,0.0375794526900414,5789854.17131605,0.0187728872328916,5530441.58201208,0.0430620272384551,4418084.68191555,0.0334224091314805,7052170.96206566,0.041833750873607,4981569.64567513,0.0239883938149862,4280403.5757199,0.03341396232066,4127300.30305793,0.0363006984394679,8029217.02707431,0.0219773373691583,7270796.03557261,0.0375794526900414,5789854.17131605
"Belize",1977,1,0.0663325489427415,9814991.95504267,0.0331037732236272,6514536.42011659,0.0370953686883348,5838868.74381658,0.119338053949892,19849145.1962531,0.0484955964505887,8931664.29748814,0.0345503977339676,6252127.44922475,0.0435317533782793,5694994.13316935,0.0497878900422786,12263428.8801428,0.0420356060365801,13334323.9628228,0.0663325489427415,9814991.95504267
"Liberia",1961,1,0.152266250041491,3151672.92802738,0.0294432812912221,4979272.07287311,0.0649000652758257,4892629.01588842,0.036043075516991,4845003.78404577,0.047659271940233,6048640.88945646,0.0352820958717003,4466274.91373712,0.0249222740865187,4469952.42573121,0.0438099024298361,7075402.68677405,0.0374638213228962,8345672.20934298,0.152266250041491,3151672.92802738
"Belize",1993,1,0.0887119404551871,8318538.30969241,0.0362723490652076,7296511.69482487,0.0141148963502979,7354427.21163143,0.0747983507699557,15878883.5098581,0.0861530654346166,7830349.50030476,0.0150209625653198,6893736.00493684,0.0193685439019743,8840706.28228316,0.0307031806626137,12776831.7977689,0.0267530616630656,11574009.5240219,0.0887119404551871,8318538.30969241
"Indonesia",1969,1,0.0171017441873139,6368678.12740784,0.0173034333380357,5486562.20189492,0.0453919388716663,5172827.88740645,0.0828172106783394,7049164.91659476,0.0575616941725243,7393663.39925784,0.0219708115486589,4551391.18317051,0.0447542965050721,4689392.3340541,0.0380668099206462,9577326.74988496,0.026392772625699,8496445.47700449,0.0171017441873139,6368678.12740784
"Sierra Leone",1961,1,0.0482708315763849,3767758.91846534,0.0259540404844475,4383868.10521281,0.111557130348437,3331075.75067156,0.0268939724605352,5734098.5203102,0.0481125186712926,4904575.09727249,0.0414414587948753,3152931.29095436,0.040466840879015,2583349.17806533,0.032468903985955,8453533.30963629,0.0357419720570199,8497409.18873932,0.0482708315763849,3767758.91846534
"Lao People's Democratic Republic",2001,1,0.0636844801740071,8420060.11016635,0.018162254174095,9060586.69317847,0.0225049620314489,8556724.95283867,0.0523990269912535,18622808.2787193,0.0268516271518647,10140853.5679461,0.0187515349324998,9975449.54800102,0.0294866409490757,7860112.01831102,0.0440510897073329,14500024.4719973,0.0527293139675089,13954968.5875818,0.0636844801740071,8420060.11016635
