"stability","yield","areaHarvested","prop","timePeriod","Level"
38.2607562016542,4444390.37483119,41006164.9,0.1,1968,"AFG"
41.5607362369623,6707333.82100291,112318309.1,0.1,1968,"AFG"
35.6229271778966,6867646.76789231,126269477.5,0.1,1968,"AFG"
25.160004567149,5284650.41168861,44577949.5,0.1,1968,"AFG"
34.5206685408891,7161101.82195959,23202863.7,0.1,1968,"AFG"
36.5476579842049,7080143.66854586,30084818.7,0.2,1968,"AFG"
25.9423024146096,6139902.95298173,310363034.9,0.2,1968,"AFG"
23.8728065685984,9173196.95000159,127029955,0.2,1968,"AFG"
93.1308208128172,5559271.72467295,80097944.5,0.2,1968,"AFG"
58.4684455773755,5568245.04041977,62321634.9,0.2,1968,"AFG"
27.3252510523936,6247226.09092544,382403451.8,0.3,1968,"AFG"
53.7770920521634,7643073.77126059,260910550.2,0.3,1968,"AFG"
61.6402702290279,5312104.0571045,302145842.9,0.3,1968,"AFG"
29.0199797938619,6563867.54985382,250355475.8,0.3,1968,"AFG"
17.743818735207,9035238.30141789,105596428,0.3,1968,"AFG"
31.5748759120953,6514428.35642845,290063622.6,0.4,1968,"AFG"
26.1033872077874,7783143.31021771,210187277.2,0.4,1968,"AFG"
50.3969611215392,6746401.23352211,118416195.2,0.4,1968,"AFG"
50.637853019048,7330506.09365103,280537793.7,0.4,1968,"AFG"
26.0869351688951,5238711.1943601,365006502.4,0.4,1968,"AFG"
35.241009022535,6835156.08644335,472495733.3,0.5,1968,"AFG"
51.9190908704491,6735013.9680796,400437363.9,0.5,1968,"AFG"
27.5973687160566,7805990.16688687,197114198.8,0.5,1968,"AFG"
32.3175832112104,8092809.17758829,208042968.5,0.5,1968,"AFG"
52.3066688588461,7305503.90689432,319294626.8,0.5,1968,"AFG"
100.725086659389,5685675.75762106,371122421.3,0.6,1968,"AFG"
39.1395881600054,6415026.78873098,570094481.6,0.6,1968,"AFG"
56.510069072091,7382817.73125122,364868379.7,0.6,1968,"AFG"
34.1751926817612,6269043.45612557,408329862.9,0.6,1968,"AFG"
36.572729447459,6996550.48865677,456150718.6,0.6,1968,"AFG"
38.9736181134262,6535659.68608513,503038140.2,0.7,1968,"AFG"
44.2528879589595,6221522.66322793,601991045.3,0.7,1968,"AFG"
39.8120984795319,6074349.33388058,599160070.3,0.7,1968,"AFG"
55.0414341333536,7122227.38163737,400377956.7,0.7,1968,"AFG"
35.5768143412427,5378288.74444666,453790019,0.7,1968,"AFG"
40.5423973887062,6734005.5934905,528830399.1,0.8,1968,"AFG"
48.1451434464576,6258791.8449993,639697958.5,0.8,1968,"AFG"
42.815996870667,6240622.54811007,580207326,0.8,1968,"AFG"
45.808462000211,6337387.902946,639956252.2,0.8,1968,"AFG"
44.9371628346643,6289560.90576273,640016764.6,0.8,1968,"AFG"
48.2836934759114,6165451.64643155,670867165.6,0.9,1968,"AFG"
40.3853116895822,6008020.42599938,555018038.7,0.9,1968,"AFG"
48.1689493941664,6203057.42294098,681493505.7,0.9,1968,"AFG"
44.2294501168726,6683069.81865199,589824504.8,0.9,1968,"AFG"
44.3181212722167,6134679.11369659,679964918.9,0.9,1968,"AFG"
49.6290810427127,6197132.87226067,702792159.9,1,1968,"AFG"
49.6290810427127,6197132.87226067,702792159.9,1,1968,"AFG"
49.6290810427127,6197132.87226067,702792159.9,1,1968,"AFG"
49.6290810427127,6197132.87226067,702792159.9,1,1968,"AFG"
49.6290810427127,6197132.87226067,702792159.9,1,1968,"AFG"
32.7360592193691,5216356.455905,169367765.5,0.1,1978,"AFG"
20.6689956115446,4557237.04034782,16435292.3,0.1,1978,"AFG"
20.574014402011,7702082.97640863,35272573.2,0.1,1978,"AFG"
15.558658710769,7972283.89372378,15419025,0.1,1978,"AFG"
20.8582994694033,8575617.12899044,37764348.4,0.1,1978,"AFG"
15.3232823412604,11364482.6157793,131552652.7,0.2,1978,"AFG"
30.0883686306229,9139837.64875662,356038242,0.2,1978,"AFG"
35.4994795062276,7200369.53310299,69398605.7,0.2,1978,"AFG"
42.4368227190472,6774381.4247388,75618876,0.2,1978,"AFG"
28.3412818505895,8832257.51683065,170902901.7,0.2,1978,"AFG"
56.7903151962006,6547208.69925358,104474303.1,0.3,1978,"AFG"
29.3656324223187,8263358.66085067,229057010,0.3,1978,"AFG"
30.1638647802374,8185596.11041133,129822334,0.3,1978,"AFG"
35.0330066656155,6734959.12844975,121047673.2,0.3,1978,"AFG"
25.8130539937178,7552593.70517778,295815704.6,0.3,1978,"AFG"
37.3314979681184,8579153.42953792,244801612.5,0.4,1978,"AFG"
33.3831367139843,6473886.14810627,294639643.2,0.4,1978,"AFG"
36.5995637467448,7708575.96846401,164024914.3,0.4,1978,"AFG"
34.0527169689703,7385321.5932696,376325165.7,0.4,1978,"AFG"
38.0130199358078,7949006.77313749,290665044.1,0.4,1978,"AFG"
37.6445959324387,6936140.94958783,465578656,0.5,1978,"AFG"
31.1540393750798,9349816.60953117,357710426.2,0.5,1978,"AFG"
36.5340407569554,6818090.17212371,388618459.6,0.5,1978,"AFG"
33.7525524108587,7398337.90345934,492094058.2,0.5,1978,"AFG"
31.2475776077799,7083761.04142623,480807867.9,0.5,1978,"AFG"
41.857616870214,7723901.15624489,636518851.5,0.6,1978,"AFG"
37.2388113716701,7944300.0431379,588662132.2,0.6,1978,"AFG"
35.3070500307118,8697968.33714795,470645403.3,0.6,1978,"AFG"
41.2217812301302,7588364.19959539,389517967.6,0.6,1978,"AFG"
41.1077324332882,7807003.55726791,625506627.3,0.6,1978,"AFG"
