"stability","yield","areaHarvested","prop","timePeriod","Level"
12.449090210257,11771.1129088406,1733630,0.1,1978,"AT11"
18.1682568151434,19870.2311051153,2073600,0.1,1978,"AT11"
11.3127958253867,12480.5848016481,2832400,0.1,1978,"AT11"
22.6652688344396,16882.7867028086,1119770,0.1,1978,"AT11"
22.0003718458236,15409.4594839166,1392840,0.1,1978,"AT11"
13.0437624316404,11772.4806314947,5375750,0.2,1978,"AT11"
21.332820074692,17027.6852522453,2861960,0.2,1978,"AT11"
9.73300250911747,10957.3094788185,2608950,0.2,1978,"AT11"
14.0901497607821,12695.5498094931,5346770,0.2,1978,"AT11"
16.3739075775995,14230.8519364835,4517400,0.2,1978,"AT11"
18.5414742372502,13908.3636830576,6323340,0.3,1978,"AT11"
18.5435760200345,16439.3917381531,3752690,0.3,1978,"AT11"
16.5581314155231,12598.9447805103,3978860,0.3,1978,"AT11"
19.3727182839515,13365.3885292517,4295170,0.3,1978,"AT11"
12.9525847884884,12041.6847601343,4627540,0.3,1978,"AT11"
19.3070973878252,14067.2658788184,4430480,0.4,1978,"AT11"
19.5030739745067,15356.5953188744,7204160,0.4,1978,"AT11"
19.287051596765,13229.9769982459,7197390,0.4,1978,"AT11"
23.2646913244957,15069.5132968945,6026990,0.4,1978,"AT11"
19.2768671370989,13854.602467465,7816900,0.4,1978,"AT11"
17.5038469806227,12859.698862884,8683300,0.5,1978,"AT11"
19.8450072362165,14936.0930534578,9550670,0.5,1978,"AT11"
19.9426723086306,13690.9385405235,7981780,0.5,1978,"AT11"
16.0781354425692,12775.0526788842,8368950,0.5,1978,"AT11"
20.2121898802721,14575.1783248192,7631470,0.5,1978,"AT11"
15.7479671037209,12935.7345998722,11023930,0.6,1978,"AT11"
21.1199342067378,16650.1451824447,7836310,0.6,1978,"AT11"
19.98079367782,14950.8887891568,8416900,0.6,1978,"AT11"
18.4080035099545,13627.0789315087,10023910,0.6,1978,"AT11"
20.7316722305836,14542.9855924676,7157770,0.6,1978,"AT11"
18.0496310276396,13646.3438988561,13133180,0.7,1978,"AT11"
17.2688326359186,13324.7813937908,11441280,0.7,1978,"AT11"
18.5546390203403,13532.303820212,11843060,0.7,1978,"AT11"
19.9558411941736,14359.7711276356,10553100,0.7,1978,"AT11"
17.293995526646,12484.1953327886,11005310,0.7,1978,"AT11"
20.7969541668133,13659.2193488455,12522190,0.8,1978,"AT11"
17.6682233022333,13171.2848249521,11945260,0.8,1978,"AT11"
21.280744321948,14405.6899635081,11540090,0.8,1978,"AT11"
19.8070085655495,13569.7679945342,12291860,0.8,1978,"AT11"
22.4867846145653,14997.050327007,11191000,0.8,1978,"AT11"
20.4548076412178,14967.2311036651,12061140,0.9,1978,"AT11"
18.8784852921562,13725.2109597072,14332550,0.9,1978,"AT11"
19.255117271792,13552.746416897,14404090,0.9,1978,"AT11"
18.6129485801911,13338.1756353337,14158380,0.9,1978,"AT11"
19.2091735342945,13667.8797239965,13969210,0.9,1978,"AT11"
19.6774645080011,13965.9291880026,15513090,1,1978,"AT11"
19.6774645080011,13965.9291880026,15513090,1,1978,"AT11"
19.6774645080011,13965.9291880026,15513090,1,1978,"AT11"
19.6774645080011,13965.9291880026,15513090,1,1978,"AT11"
19.6774645080011,13965.9291880026,15513090,1,1978,"AT11"
16.6654756193121,13782.1641328678,1229950,0.1,1988,"AT11"
27.4412256843774,20964.2187489231,687970,0.1,1988,"AT11"
18.5162809011528,15394.6665696088,2519600,0.1,1988,"AT11"
29.0889351224129,26840.4705984181,1427110,0.1,1988,"AT11"
17.7794320616866,18345.1262621602,1612380,0.1,1988,"AT11"
12.4387608374517,15294.5858923596,2972420,0.2,1988,"AT11"
8.9393514527222,10836.1154807583,5029090,0.2,1988,"AT11"
27.4532847582513,20670.1938547761,2826030,0.2,1988,"AT11"
17.0764075135176,22182.5598396146,2919610,0.2,1988,"AT11"
24.6535471854572,26245.6127763845,2327920,0.2,1988,"AT11"
16.954385546101,18286.3192461832,5034040,0.3,1988,"AT11"
32.4937087333834,22313.1280111355,3355290,0.3,1988,"AT11"
13.6033407878468,15115.7270729006,5303620,0.3,1988,"AT11"
16.1658432110178,16069.3864254761,5350130,0.3,1988,"AT11"
18.5687292329899,22727.4063883497,3600830,0.3,1988,"AT11"
14.0117471583735,14956.7105134316,9962800,0.4,1988,"AT11"
21.0354670256706,19437.492238698,6935650,0.4,1988,"AT11"
31.1294051698314,20181.3527752534,5207720,0.4,1988,"AT11"
15.1222427307001,16003.9039338444,6623920,0.4,1988,"AT11"
30.3754398382675,20714.9569617995,5054320,0.4,1988,"AT11"
15.3816988168432,14534.0118657416,9483480,0.5,1988,"AT11"
25.9647763730341,18108.7277615099,7352800,0.5,1988,"AT11"
19.4511250653495,15388.5843292924,7290900,0.5,1988,"AT11"
17.515031231749,16064.6689910105,8068260,0.5,1988,"AT11"
23.9726953927232,18102.2634584307,6495940,0.5,1988,"AT11"
24.7455387343791,18467.126670883,9305160,0.6,1988,"AT11"
22.9374404558287,17819.4358830567,10214890,0.6,1988,"AT11"
21.9543286170652,19543.7419413878,9289320,0.6,1988,"AT11"
21.3660407196287,17853.4102596173,10407970,0.6,1988,"AT11"
20.4363069953857,16694.6103563974,11185400,0.6,1988,"AT11"
19.3507639723981,16778.0934810334,10078910,0.7,1988,"AT11"
22.8853827483295,18454.4495887028,9907280,0.7,1988,"AT11"
22.44568665835,17871.7169736917,11887580,0.7,1988,"AT11"
19.4339823249694,16245.0037713125,10968780,0.7,1988,"AT11"
