"Region","Country","timePeriod","stability","stabilityOverall","stabilityReduced","yield","yieldOverall","yieldReduced","areaHarvested","areaHarvestedOverall","areaHarvestedReduced","diversity","fertilizer","irrigation","instabilityTemp","instabilityPrec"
"AT22","AUT",1978,15.2083644703597,18.6103489923202,18.5987018544453,13456.3634234429,14615.5183003834,14617.9013506407,27810,13328350,13300540,1.60850894032522,0.097097952196792,0.84,-18.741066866175,-8.6247242555469
"AT32","AUT",1978,23.1834857830705,13.6053884564678,13.6027738511655,11881.7590678772,12340.3752891286,12340.4622950846,2210,11313980,11311770,1.74446141671572,0.097097952196792,0.84,-12.5652845212522,-8.46421340404507
"AT31","AUT",1978,10.7642570518271,18.6103489923202,18.5900688014982,16081.7043187739,14615.5183003834,14607.8302986365,68420,13328350,13259930,2.04091657327652,0.097097952196792,0.84,-22.8789300684238,-8.73594749145968
"AT33","AUT",1978,32.368811753778,13.6053884564678,13.6010613577503,14960.4179211038,12340.3752891286,12339.6612149859,3130,11313980,11310850,1.9728116648736,0.097097952196792,0.84,-8.73391724511319,-12.278837446952
"AT11","AUT",1978,9.39895003173388,18.6103489923202,18.6333165212278,15039.9737349677,14615.5183003834,14613.9001864476,52480,13328350,13275870,1.80528694488355,0.097097952196792,0.84,-20.0804690019615,-9.34526338020082
"AT34","AUT",1978,8.11969532777669,13.6053884564678,13.6045602109561,13732.35,12340.3752891286,12340.3343823321,330,11313980,11313650,1.90791843029463,0.097097952196792,0.84,-17.1322722464365,-10.5061210041913
"AT21","AUT",1978,19.8129309073253,13.6053884564678,13.5872863650296,12933.1022739589,12340.3752891286,12339.379533481,18470,11313980,11295510,1.51427289001824,0.097097952196792,0.84,-17.4988094700179,-7.21366141721546
"AT32","AUT",1988,15.2074859606414,14.920343181697,14.9184654706417,13086.8232223659,13808.571631088,13808.6902878973,1540,9184900,9183360,1.618499661431,0.0853992294406802,2.73,-17.4210899621235,-7.72735561850715
"AT31","AUT",1988,13.8572838200224,17.2123228736779,17.0695899252316,18079.6572208295,14639.3471588587,14621.302257942,72080,13870360,13798280,2.50199035001223,0.0853992294406802,2.73,-29.1452310795342,-7.68831320463928
"AT33","AUT",1988,22.5156842745533,14.920343181697,14.9180312342149,15259.5352577374,13808.571631088,13808.2601876847,1840,9184900,9183060,1.97444331469086,0.0853992294406802,2.73,-15.1324833556319,-11.903757027795
"AT34","AUT",1988,6.62212444294175,14.920343181697,14.9195876012189,15574.1666666667,13808.571631088,13808.5351601198,210,9184900,9184690,1.98898815748423,0.0853992294406802,2.73,-27.2638261252371,-8.89277260154283
"AT22","AUT",1988,12.6802409408791,21.5931539535805,21.5556363515175,14933.4768658422,16555.0108342485,16558.1191774163,23880,11664380,11640500,1.5757344601721,0.0853992294406802,2.73,-26.4745259779419,-4.94663831293653
"AT11","AUT",1988,14.4787665849167,17.2123228736779,17.1076750565446,16033.7020041312,14639.3471588587,14633.9190291133,52400,13870360,13817960,3.02523851334022,0.0853992294406802,2.73,-29.265158360167,-5.93046254884203
"AT21","AUT",1988,13.9741541848312,13.3500723570263,13.3400946065236,13763.0160691897,12290.9381919845,12289.3386080917,13450,12727200,12713750,1.49020499195869,0.0853992294406802,2.73,-28.0639214399636,-10.40477443552
"AT22","AUT",1998,11.0077274615349,17.6413148795745,17.6295612162495,15901.3822201751,18279.0984297128,18281.1675603309,24400,28573069,28548669,2.96607300063967,0.0916921325650196,3.497,-34.4670732476464,-5.51430904337953
"AT32","AUT",1998,8.6925583246212,17.5416448624852,17.5416287729705,13509.0756105006,17574.3280857671,17574.5318300801,1100,23214269,23213169,2.39422948594833,0.0916921325650196,3.497,-22.2091442945269,-14.3722143057402
"AT11","AUT",1998,9.28912346192164,17.3852499724298,17.4024169290907,14637.863508185,16959.7306813738,16966.0873247708,88610,32451450,32362840,4.82043764075533,0.0916921325650196,3.497,-36.1397455147136,-5.64536659625959
"AT33","AUT",1998,10.2113017088566,17.5416448624852,17.541211263965,14503.3541125541,17574.3280857671,17574.472820288,1090,23214269,23213179,2.83242049761016,0.0916921325650196,3.497,-21.7675729289408,-9.09188523584567
"AT31","AUT",1998,15.3959159603221,17.4438576309979,17.4143801215908,19522.8738141799,17342.6114320592,17334.4042168232,115240,30813542,30698302,3.81405583145828,0.0916921325650196,3.497,-36.4262712293199,-9.0136638988435
"AT21","AUT",1998,13.3403974435887,17.0685647589555,17.0621344515261,13610.2577261265,16400.4525071438,16402.0380298375,14740,25752691,25737951,3.01454152556505,0.0916921325650196,3.497,-35.4345297321152,-6.29899013310461
"AT33","AUT",2008,16.5631789502472,20.8844356724692,20.8838813985729,16903.4313413877,17910.7778049957,17910.8339452396,764,14350134,14349370,2.69348189711872,0.0717711103723404,4.15555555555556,-15.2889424278886,-12.3396185482341
"AT21","AUT",2008,16.4800128012229,18.3816095715605,18.3749641342533,15500.7053017572,16350.7211792936,16351.2895360692,12724,19250213,19237489,3.44257555036951,0.0717711103723404,4.15555555555556,-38.4579600415316,-9.23300031399032
"AT11","AUT",2008,10.6134639474852,20.2709073445978,20.2566354734201,14925.1501108163,17339.7052149399,17350.4846467936,90548,20469862,20379314,4.74811687147999,0.0717711103723404,4.15555555555556,-37.9557415484072,-5.79639719864908
"AT22","AUT",2008,10.359627782406,20.084249238821,20.0741209610634,18105.3806939365,17505.6153956283,17505.00033663,21027,20000118,19979091,3.59824881381257,0.0717711103723404,4.15555555555556,-44.1846102290048,-6.55313027361587
